,ROLES,COMPANIES,LOCATIONS,EXPERIENCE,SKILLS,DATES,PRESENTDATE,SALARY,LINKS,SPECIALITY,DESCRIPTION
616,Embedded Device Driver Developer,Personal Network. Ltd,"Pune, Bengaluru, Noida",3-8 Yrs,"('assembly language', 'website', 'C', 'HTML', 'Embedded Device Driver Developer', 'ajax', 'javascript', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-embedded-device-driver-developer-personal-network-ltd-pune-bengaluru-bangalore-noida-3-to-8-years-250217501743?src=jobsearchDesk&sid=16075373682622105&xp=17&px=31,NULL,"Embedded device drivers / RTOS porting on any RTOS(USB device driver, I2C driver, NOR/ ..."
617,senior software Engineer/ Team Lead,SYS Softech,Delhi,2-5 Yrs,"('c#', 'assembly language', 'website', 'C', 'HTML', 'ajax', 'sql server', 'javascript')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-team-lead-sys-softech-delhi-2-to-5-years-250217501735?src=jobsearchDesk&sid=16075373682622105&xp=18&px=31,NULL,"As a senior software Engineer/ Team Lead, you will support service specialists in perfo..."
618,Senior Software Engineer - Embedded,Softwareshouse.com.,Bengaluru,6-10 Yrs,"('assembly language', 'website', 'C', 'Senior Software Engineer', 'android', 'HTML', 'ajax', 'javascript')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-embedded-softwareshouse-com-bengaluru-bangalore-6-to-10-years-250217501686?src=jobsearchDesk&sid=16075373682622105&xp=19&px=31,NULL,Both Permanent and FreeLance Roles Available Eligibility: 6 years-10 year relevant Expe...
619,Software Engineer Sr. Software Engineer - RDBMS,Personal Network. Ltd,"Chennai, Bengaluru, Hyderabad, Kolkata",3-8 Yrs,"('assembly language', 'website', 'C', 'HTML', 'ajax', 'javascript', 'jquery', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-sr-software-engineer-rdbms-personal-network-ltd-chennai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-3-to-8-years-250217501655?src=jobsearchDesk&sid=16075373682622105&xp=20&px=31,NULL,Very strong RDBMS and PL/ SQL development experience in Forms and Reports with Banganki...
620,Software Engineer Sr. Software Engineer - RDBMS,Personal Network. Ltd,"Chennai, Bengaluru, Hyderabad, Kolkata",3-8 Yrs,"('assembly language', 'website', 'C', 'HTML', 'ajax', 'javascript', 'jquery', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-sr-software-engineer-rdbms-personal-network-ltd-chennai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-3-to-8-years-250217501655?src=jobsearchDesk&sid=16075375576404279&xp=1&px=32,NULL,Very strong RDBMS and PL/ SQL development experience in Forms and Reports with Banganki...
621,SR PHP DEVELOPER,Saffron Consultancy Services(scs),Mumbai,4-8 Yrs,"('assembly language', 'SR PHP DEVELOPER', 'website', 'C', 'HTML', 'ajax', 'javascript', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-php-developer-saffron-consultancy-services-scs-mumbai-4-to-8-years-250217501592?src=jobsearchDesk&sid=16075375576404279&xp=2&px=32,NULL,"About Company : With an experience of more than 16 years, they have evolved from a bout..."
622,Javascript Developer,Saffron Consultancy Services(scs),Mumbai,3-8 Yrs,"('assembly language', 'website', 'C', 'Javascript Developer', 'HTML', 'ajax', 'javascript', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-javascript-developer-saffron-consultancy-services-scs-mumbai-3-to-8-years-250217501590?src=jobsearchDesk&sid=16075375576404279&xp=3&px=32,NULL,"Javascript Developer About Company : With an experience of more than 16 years, they hav..."
623,Java Software Engineer Required in Mumbai,Saffron Consultancy Services(scs),Mumbai,3-6 Yrs,"('assembly language', 'website', 'C', 'Java Software Engineer Required in Mumbai', 'HTML', 'ajax', 'javascript', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-java-software-engineer-required-in-mumbai-saffron-consultancy-services-scs-mumbai-3-to-6-years-250217501588?src=jobsearchDesk&sid=16075375576404279&xp=4&px=32,NULL,Job Nature : Full TimeJob Requirements: BE/ BTech/ MTech The Candidate Should Be A Good...
624,Php Developer Required in Chennai,Saffron Consultancy Services(scs),Chennai,4-7 Yrs,"('assembly language', 'website', 'C', 'Php Developer Required in Chennai', 'HTML', 'ajax', 'javascript', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developer-required-in-chennai-saffron-consultancy-services-scs-chennai-4-to-7-years-250217501580?src=jobsearchDesk&sid=16075375576404279&xp=5&px=32,NULL,Job Nature : Full TimeQualification : Ug: Any Graduate - Any Specialization Pg: Any Pos...
625,Sr. Software Engineer,Regulus Information Technologies,Pune,2-4 Yrs,"('assembly language', 'server', 'website', 'development', 'Sr. Software Engineer', 'C', 'software', 'HTML')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-software-engineer-regulus-information-technologies-pune-2-to-4-years-250217501539?src=jobsearchDesk&sid=16075375576404279&xp=6&px=32,NULL,"Candidate should have deep understanding of Microsoft .NET technologies, architecture, ..."
626,Senior Software Developer,Softwareshouse.com.,Bengaluru,3-6 Yrs,"('IT Skills', 'Testing', 'assembly language', 'Senior Software Developer', 'website', 'development', 'C', 'testing')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-developer-softwareshouse-com-bengaluru-bangalore-3-to-6-years-250217501498?src=jobsearchDesk&sid=16075375576404279&xp=7&px=32,NULL,Eligibility: 3-6 years Experience
627,PHP Developer in jaipur,W3care Technologies,Jaipur,1-5 Yrs,"('assembly language', 'website', 'PHP Developer in jaipur', 'C', 'cms', 'HTML', 'ajax', 'javascript')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developer-in-jaipur-w3care-technologies-jaipur-1-to-5-years-250217501447?src=jobsearchDesk&sid=16075375576404279&xp=8&px=32,NULL,"Core PHP , JQuery, JavaScript, HTML5, CSS3 -MVC Framework experience (Cake PHP, CodeIgn..."
628,Php Developer in Bangalore,Space Consultant,Bengaluru,2-4 Yrs,"('assembly language', 'website', 'C', 'HTML', 'ajax', 'javascript', 'jquery', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developer-in-bangalore-space-consultant-bengaluru-bangalore-2-to-4-years-250217501372?src=jobsearchDesk&sid=16075375576404279&xp=9&px=32,NULL,Job Position :- PHP Developer. Company Profile :- Company basically is in to online mar...
629,PHP Developer,Rockers Technology,Vadodara,2-7 Yrs,"('assembly language', 'bca', 'C', 'technical', 'cms', 'HTML', 'mca', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developer-rockers-technology-vadodara-baroda-2-to-7-years-250217501343?src=jobsearchDesk&sid=16075375576404279&xp=10&px=32,NULL,"Development using Technology PHP & MY-SQL with latest version & Open Source, Frame work..."
630,Software Developer,Delfoo,Vadodara,3-5 Yrs,"('assembly language', 'C', 'code', 'cms', 'developing', 'HTML', 'ajax', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-developer-delfoo-vadodara-baroda-3-to-5-years-250217500870?src=jobsearchDesk&sid=16075375576404279&xp=11&px=32,NULL,ResponsibilitiesResponsible for developing web- based application to meet the emerging ...
631,Software Engineer / Senior Software Engineer,eRevMax Inc.,"Bengaluru, Kolkata",3-6 Yrs,"('assembly language', 'C', 'technical', 'Senior Software Engineer', 'HTML', 'mca', 'ajax', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-senior-software-engineer-erevmax-inc-bengaluru-bangalore-kolkata-3-to-6-years-250217500837?src=jobsearchDesk&sid=16075375576404279&xp=12&px=32,NULL,"Key Areas of Responsibility: Play the role of a developer within a team, proactively ta..."
632,DOT NET Developer,Verve Logic,Jaipur,2-5 Yrs,"('assembly language', 'website', 'development', 'C', 'solid', 'technical', 'HTML', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-dot-net-developer-verve-logic-jaipur-2-to-5-years-250217500830?src=jobsearchDesk&sid=16075375576404279&xp=13&px=32,NULL,"• Must have core skills • 2 years of experience.• Strong Microsoft.NET (C#, ASP.NET, MV..."
633,Software Developer,Delfoo,"Vadodara, Surat",3-6 Yrs,"('assembly language', 'C', 'code', 'cms', 'developing', 'HTML', 'ajax', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-developer-delfoo-vadodara-baroda-surat-3-to-6-years-250217500822?src=jobsearchDesk&sid=16075375576404279&xp=14&px=32,NULL,ResponsibilitiesResponsible for developing web- based application to meet the emerging ...
634,Software Engineer,Vacation Labs,Panjim,6-11 Yrs,"('assembly language', 'website', 'C', 'HTML', 'ajax', 'javascript', 'jquery', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-vacation-labs-panjim-panaji-6-to-11-years-250217500821?src=jobsearchDesk&sid=16075375576404279&xp=15&px=32,NULL,We donrsquot consider number of years to be a true indicator of experience; some people...
635,DOT Net Developers,Northsoft Corporation,Ludhiana,2-5 Yrs,"('assembly language', 'website', 'C', 'oracle', 'analytical', 'HTML', 'ajax', 'DOT Net Developers')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-dot-net-developers-northsoft-corporation-ludhiana-2-to-5-years-250217500802?src=jobsearchDesk&sid=16075375576404279&xp=16&px=32,NULL,"• Requirements: • Having effective knowledge of VB.NET/ ASP.NET, MVC, WebApi, WCF, .NET..."
636,PHP DEVELOPER,I. V. Communications Ltd.,Delhi,2-4 Yrs,"('assembly language', 'C', 'code', 'wordpress', 'developing', 'HTML', 'ajax', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developer-i-v-communications-ltd-delhi-2-to-4-years-250217500662?src=jobsearchDesk&sid=16075375576404279&xp=17&px=32,NULL,Has experience in dealing with international projects
637,DOT Net MVC Developer,SYNASTUTE,Nasik,0-3 Yrs,"('assembly language', 'server', 'C', 'software', 'DOT Net MVC Developer', 'HTML', 'mca', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-dot-net-mvc-developer-synastute-nasik-0-to-3-years-250217500660?src=jobsearchDesk&sid=16075375576404279&xp=18&px=32,NULL,"• Experience of working on C#/ ASP.net, MVC, MS- SQL Server 2005/ 2008 is must.• Strong..."
638,PHP Developer,Blue Digital Media Pvt Ltd,Noida,3-4 Yrs,"('assembly language', 'website', 'C', 'technical', 'developing', 'HTML', 'ajax', 'javascript')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developer-blue-digital-media-pvt-ltd-noida-3-to-4-years-241216500001?src=jobsearchDesk&sid=16075375576404279&xp=19&px=32,NULL,"• Must have good understanding of PHP, OOPS and MVC • Very Good knowledge of MySQL • Kn..."
639,Senior Java Developer,DUN & BRADSTREET INFORMATION SERVICES INDIA PRIVATE LIMITED,Hyderabad,5-7 Yrs,"('IT Skills', 'Java', 'J2EE', 'Python', 'Testing', 'Cloud', 'Computer science', 'RCA')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-java-developer-dun-bradstreet-information-services-india-private-limited-hyderabad-secunderabad-5-to-7-years-240720500594?src=jobsearchDesk&sid=16075375576404279&xp=20&px=32,NULL,Team Overview: Dun & Bradstreet is looking for a Java Developer responsible for the arc...
640,Software Engineer (Backend),Ibibo,Bengaluru,2-4 Yrs,"('Backend', 'GIT', 'NoSQL', 'Linux', 'Coding', 'MySQL', 'Data structures', 'E-commerce')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-backend-ibibo-group-private-limited-bengaluru-bangalore-2-to-4-years-240718500829?src=jobsearchDesk&sid=16075377684633981&xp=1&px=33,PREMIUM,"- Experience in architecting & building real- time, large scale e- commerce application..."
641,Senior Software QA Automation Engineer,PubMatic India Pvt. Ltd.,Pune,4-8 Yrs,"('Unix', 'Linux', 'Networking', 'Shell scripting', 'Debugging', 'Performance testing', 'Data structures', 'Troubleshooting')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-qa-automation-engineer-pubmatic-india-pvt-ltd-pune-4-to-8-years-240620500133?src=jobsearchDesk&sid=16075377684633981&xp=2&px=33,PREMIUM,Job Description Should have minimum 3 years of experience on working Big Data technolog...
642,Software Engineer,TERRA TECHNOLOGY,Hyderabad,2-5 Yrs,"('css', 'software', 'configuration', 'administration', 'HTML', 'sql', 'cloud', 'spring')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-terra-technology-hyderabad-secunderabad-2-to-5-years-240518500719?src=jobsearchDesk&sid=16075377684633981&xp=3&px=33,NULL,"Software Engineer | E2open Careers Twitter Widget Iframe May 21 , 2018 Full - Time Hyde..."
643,Odoo Developer,RDFlex,Gandhinagar,1-3 Yrs,"('Unix', 'Linux', 'Postgresql', 'Django', 'Javascript', 'Windows', 'Open source', 'ERP implementation')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-odoo-developer-rdflex-gandhinagar-1-to-3-years-240420500030?src=jobsearchDesk&sid=16075377684633981&xp=4&px=33,NULL,"We are a team of creative talented, passionate and experienced individuals. we serving ..."
644,Hadoop Developer,Diverse Lynx,Bengaluru,2-7 Yrs,"('IT Skills', 'Java', 'Python', 'Unix', 'Linux', 'RDBMS', 'Eclipse', 'Shell scripting')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-hadoop-developer-diverse-lynx-bengaluru-bangalore-2-to-7-years-240320500917?src=jobsearchDesk&sid=16075377684633981&xp=5&px=33,PREMIUM,Job Responsibilities Hadoop Senior developer should have In depth understanding of dist...
645,Sr. ASP.Net MVC Developers,Addis Infotech.,Ahmedabad,2-5 Yrs,"('assembly language', 'server', 'css', 'C', 'code', 'technical', 'HTML', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-asp-net-mvc-developers-addis-infotech-ahmedabad-2-to-5-years-240217500282?src=jobsearchDesk&sid=16075377684633981&xp=6&px=33,NULL,• The Senior .NET Developer will work closely with the Solutions Architect and Technica...
646,Web Developer,Enliven Groups,Jabalpur,0-3 Yrs,"('assembly language', 'website', 'C', 'HTML', 'ajax', 'javascript', 'jquery', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-web-developer-enliven-groups-jabalpur-0-to-3-years-240217500278?src=jobsearchDesk&sid=16075377684633981&xp=7&px=33,NULL,Job Description Work Experience : 0- 5 Web Developer Key Skills : Having good Command i...
647,Software Developer / Programmer,LinuxBean Solution Pvt Ltd,Indore,2-7 Yrs,"('assembly language', 'C', 'developing', 'HTML', 'ajax', 'jquery', 'coding', 'xml')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-developer-programmer-linuxbean-solution-pvt-ltd-indore-2-to-7-years-240217500247?src=jobsearchDesk&sid=16075377684633981&xp=8&px=33,NULL,"Strong proficiency in PHP programming with OOPS, MySql, Javascript, Jquery & Ajax.-Good..."
648,PHP Developer / Programmer,LinuxBean Solution Pvt Ltd,Indore,1-5 Yrs,"('assembly language', 'C', 'developing', 'HTML', 'ajax', 'jquery', 'coding', 'PHP Developer')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developer-programmer-linuxbean-solution-pvt-ltd-indore-1-to-5-years-240217500246?src=jobsearchDesk&sid=16075377684633981&xp=9&px=33,NULL,"Strong proficiency in PHP programming with OOPS, MySql, Javascript, Jquery & Ajax.-Good..."
649,Database Developer,Ushur,Bengaluru,6-11 Yrs,"('Unix', 'Computer science', 'Automation', 'Data migration', 'Backend', 'Linux', 'Back office', 'Workflow')",16 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-database-developer-ushur-bengaluru-bangalore-6-to-11-years-231120501116?src=jobsearchDesk&sid=16075377684633981&xp=10&px=33,NULL,Job Description: Our Infrastructure team is looking for an excellent MongoDB to join a ...
650,Software Engineer,Wells Fargo,"Bengaluru, Hyderabad",3-6 Yrs,"('Solution architecture', 'Business services', 'Linux', 'Simulation', 'Debugging', 'Application development', 'Teradata', 'SQL')",16 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-wells-fargo-india-solutions-pvt-ltd-bengaluru-bangalore-hyderabad-secunderabad-3-to-6-years-231120500484?src=jobsearchDesk&sid=16075377684633981&xp=11&px=33,NULL,About the Role: The EDL Hadoop Big data team is looking for an Engineer to work in a fa...
651,Snr Data Scientist,Angel & Genie,Bengaluru,10-15 Yrs,"('Data analysis', 'GIT', 'Analytical', 'Machine learning', 'Business intelligence', 'Analytics', 'Financial services', 'SQL')",16 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-snr-data-scientist-angel-genie-bengaluru-bangalore-10-to-15-years-231120500015?src=jobsearchDesk&sid=16075377684633981&xp=12&px=33,NULL,Role Description We are looking for a smart and experienced analytics manager who can l...
652,Codeigniter Developer Required in Mohali,Saffron Consultancy Services(scs),Mohali,2-4 Yrs,"('assembly language', 'website', 'C', 'HTML', 'ajax', 'javascript', 'jquery', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-codeigniter-developer-required-in-mohali-saffron-consultancy-services-scs-mohali-2-to-4-years-230617501590?src=jobsearchDesk&sid=16075377684633981&xp=13&px=33,NULL,Qualification : Graduate Working Days : 5 Days a Week (10: 00 AM to 7: 00 PM) Job Natur...
653,Sr. JAVA Backend Developer,Diverse Lynx,Bengaluru,3-6 Yrs,"('IT Skills', 'Java', 'Python', 'Software Development', 'IIS', 'Backend', 'Web services', 'NoSQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-java-backend-developer-diverse-lynx-bengaluru-bangalore-3-to-6-years-230320500656?src=jobsearchDesk&sid=16075377684633981&xp=14&px=33,PREMIUM,"Nice to have, but not required experience knowledge of the following technologies and l..."
654,Hadoop Developer,Diverse Lynx,Bengaluru,2-7 Yrs,"('IT Skills', 'Java', 'Python', 'DevOps', 'CSS', 'Javascript', 'Jenkins', 'AWS')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-hadoop-developer-diverse-lynx-bengaluru-bangalore-2-to-7-years-230320500569?src=jobsearchDesk&sid=16075377684633981&xp=15&px=33,PREMIUM,"Good to have Skills : Core : AWS, Hadoop, Yarn"
655,Backend Developer,Diverse Lynx,Gurgaon,1-5 Yrs,"('IT Skills', 'Java', 'Python', 'Software Development', 'IIS', 'Backend', 'Web services', 'NoSQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-backend-developer-diverse-lynx-gurgaon-1-to-5-years-230320500338?src=jobsearchDesk&sid=16075377684633981&xp=16&px=33,PREMIUM,"Nice to have, but not required experience knowledge of the following technologies and l..."
656,UI Developer,Finite HR Consulting Private Limited,Hyderabad,5-10 Yrs,"('assembly language', 'website', 'C', 'HTML', 'ajax', 'javascript', 'jquery', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-ui-developer-finite-hr-consulting-private-limited-hyderabad-secunderabad-5-to-10-years-230217501583?src=jobsearchDesk&sid=16075377684633981&xp=17&px=33,NULL,Responsibilities Collaborate with product management and engineering teams to define an...
657,PHP Developer,LOGOS CORPORATE SOLUTIONS,Delhi,3-8 Yrs,"('assembly language', 'website', 'C', 'HTML', 'ajax', 'javascript', 'jquery', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developer-logos-corporate-solutions-delhi-3-to-8-years-230217501579?src=jobsearchDesk&sid=16075377684633981&xp=18&px=33,NULL,Urgently required; People with 2 - 8 years experience on: Salary slab: 2- 8Lacs Resourc...
658,RPG Developer,LOGOS CORPORATE SOLUTIONS,Bengaluru,4-9 Yrs,"('assembly language', 'C', 'HTML', 'ajax', 'tools', 'jquery', 'coding', 'database')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-rpg-developer-logos-corporate-solutions-bengaluru-bangalore-4-to-9-years-230217501578?src=jobsearchDesk&sid=16075377684633981&xp=19&px=33,NULL,Immediate opening for a RPG Programmer to work in the Bangalore area. All applicants mu...
659,DOTNET Developer,Ceredox Technologies,Hyderabad,2-6 Yrs,"('assembly language', 'server', 'C', 'technical', 'analytical', 'software', 'HTML', 'mca')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-dotnet-developer-ceredox-technologies-hyderabad-secunderabad-2-to-6-years-230217501573?src=jobsearchDesk&sid=16075377684633981&xp=20&px=33,NULL,Work as part of a high energy team to design and build internet based client projects. ...
660,DOTNET Developer,Ceredox Technologies,Hyderabad,2-6 Yrs,"('assembly language', 'server', 'C', 'technical', 'analytical', 'software', 'HTML', 'mca')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-dotnet-developer-ceredox-technologies-hyderabad-secunderabad-2-to-6-years-230217501573?src=jobsearchDesk&sid=16075379179201245&xp=1&px=34,NULL,Work as part of a high energy team to design and build internet based client projects. ...
661,Ruby on Rails Developer,Fizzy Softwares,Gurgaon,1-5 Yrs,"('assembly language', 'website', 'development', 'C', 'code', 'technical', 'HTML', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-ruby-on-rails-developer-fizzy-softwares-gurgaon-1-to-5-years-230217501257?src=jobsearchDesk&sid=16075379179201245&xp=2&px=34,NULL,"Job Description: - Building big, robust, scalable and maintainable Rails Apps having go..."
662,PHP Developer,Rockers Technology,Vadodara,2-7 Yrs,"('assembly language', 'bca', 'C', 'technical', 'cms', 'HTML', 'mca', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developer-rockers-technology-vadodara-baroda-2-to-7-years-230217501232?src=jobsearchDesk&sid=16075379179201245&xp=3&px=34,NULL,"• Development using Technology PHP & MY- SQL with latest version & Open Source, Frame w..."
663,Mid Senior Level PHP Developer,LinuxBean Solution Pvt Ltd,Indore,2-7 Yrs,"('assembly language', 'website', 'development', 'C', 'developing', 'HTML', 'ajax', 'javascript')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-mid-senior-level-php-developer-linuxbean-solution-pvt-ltd-indore-2-to-7-years-230217501214?src=jobsearchDesk&sid=16075379179201245&xp=4&px=34,NULL,"- Strong proficiency in PHP programming with OOPS, MySql, Javascript, Jquery & Ajax.- G..."
664,Software Developer / Programmer,LinuxBean Solution Pvt Ltd,Indore,1-5 Yrs,"('assembly language', 'website', 'development', 'C', 'developing', 'HTML', 'ajax', 'javascript')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-developer-programmer-linuxbean-solution-pvt-ltd-indore-1-to-5-years-230217501213?src=jobsearchDesk&sid=16075379179201245&xp=5&px=34,NULL,"- Strong proficiency in PHP programming with OOPS, MySql, Javascript, Jquery & Ajax.- G..."
665,DOTNET Developer,WeblineIndia,Ahmedabad,3-8 Yrs,"('assembly language', 'C', 'HTML', 'ajax', 'jquery', 'oop', 'database', 'xml')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-dotnet-developer-weblineindia-ahmedabad-3-to-8-years-230217501212?src=jobsearchDesk&sid=16075379179201245&xp=6&px=34,NULL,"• Good knowledge in .NET 4.0/ 4.5/ 4.5.1/ 4.5.2, C#.• Good to have knowledge in JavaScr..."
666,Web Developer (php/ wordpress/ joomla/ magento),LinuxBean Solution Pvt Ltd,Indore,1-5 Yrs,"('assembly language', 'website', 'C', 'Web Developer', 'wordpress', 'joomla', 'HTML', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-web-developer-php-wordpress-joomla-magento-linuxbean-solution-pvt-ltd-indore-1-to-5-years-230217501209?src=jobsearchDesk&sid=16075379179201245&xp=7&px=34,NULL,Description- - Must have worked in Web app development.- Must have good knowledge of PH...
667,Web Developer (php/ wordpress/ joomla/ magento),LinuxBean Solution Pvt Ltd,Indore,2-7 Yrs,"('assembly language', 'website', 'C', 'Web Developer', 'wordpress', 'joomla', 'HTML', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-web-developer-php-wordpress-joomla-magento-linuxbean-solution-pvt-ltd-indore-2-to-7-years-230217501185?src=jobsearchDesk&sid=16075379179201245&xp=8&px=34,NULL,Bachelors in Computer Science or equivalent preferred • Must have at least 2 years of p...
668,Mid Senior Level PHP Developer,LinuxBean Solution Pvt Ltd,Indore,1-5 Yrs,"('assembly language', 'website', 'development', 'C', 'developing', 'HTML', 'ajax', 'javascript')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-mid-senior-level-php-developer-linuxbean-solution-pvt-ltd-indore-1-to-5-years-230217501171?src=jobsearchDesk&sid=16075379179201245&xp=9&px=34,NULL,"- Strong proficiency in PHP programming with OOPS, MySql, Javascript, Jquery & Ajax.- G..."
669,Siebel Developer/ Siebel Admin/ Siebel EAI,Valuewing Consultancy Services (P) Ltd,Gurgaon,4-7 Yrs,"('assembly language', 'website', 'C', 'HTML', 'ajax', 'Siebel Admin', 'javascript', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-siebel-developer-siebel-admin-siebel-eai-valuewing-consultancy-services-p-ltd-gurgaon-4-to-7-years-230217501126?src=jobsearchDesk&sid=16075379179201245&xp=10&px=34,NULL,Holding Certification in Siebel 8 or 0 / 1 would be preferred Holds experience in both ...
670,Senior Software Engineer - .Net Windows Forms Development,Applied Development Software (India) Private Limited,Pune,4-5 Yrs,"('assembly language', 'software', 'Senior Software Engineer', 'HTML', 'ajax', 'jquery', 'xml', 'linux')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-net-windows-forms-development-applied-development-software-india-private-limited-pune-4-to-5-years-230217501069?src=jobsearchDesk&sid=16075379179201245&xp=11&px=34,NULL,As senior software engineer you will work with the Team Lead to develop an ERP applicat...
671,DOTNET Software Engineers,Totient Business Solutions Pvt. Ltd,Bengaluru,3-4 Yrs,"('assembly language', 'server', 'algorithms', 'C', 'developing', 'HTML', 'microsoft', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-dotnet-software-engineers-totient-business-solutions-pvt-ltd-bengaluru-bangalore-3-to-4-years-230217501065?src=jobsearchDesk&sid=16075379179201245&xp=12&px=34,NULL,"We have exciting engineering opportunities, such as creating a superb user experience u..."
672,Cognos Developer,Value Consulting,Bengaluru,3-8 Yrs,"('IT Skills', 'Testing', 'assembly language', 'website', 'C', 'HTML', 'Cognos Developer', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-cognos-developer-value-consulting-bengaluru-bangalore-3-to-8-years-230217501044?src=jobsearchDesk&sid=16075379179201245&xp=13&px=34,NULL,Job Description : We are looking for someone who has the ability to work independently ...
